,population,income,house_value,rent,tract,unemployment,poverty
188,4723,28179,198500,1170,08059010213,0.08,0.16
189,2376,29082,246500,1536,08059009841,0.09,0.05
190,6240,41278,300200,1311,08059009827,0.07,0.05
191,2516,46453,572900,-666666666,08059009837,0.06,0.01
192,3661,45072,409500,1849,08059009806,0.06,0.05
193,5142,43819,317200,1580,08059009815,0.06,0.03
194,4026,44293,361900,1223,08059009836,0.03,0.02
195,7938,45938,401800,1315,08059009843,0.04,0.04
196,4069,67348,592500,1847,08059009845,0.03,0.02
197,4566,55783,521400,1653,08059009846,0.04,0.02
198,3508,36488,266800,958,08059010210,0.06,0.08
199,2304,43533,621200,290,08059009848,0.12,0.07
200,4354,32189,199400,1227,08059010100,0.07,0.11
201,4748,30932,215400,952,08059010212,0.09,0.14
202,2881,35961,208700,1551,08059010304,0.07,0.03
203,5119,30377,215600,926,08059010307,0.08,0.09
204,6126,31992,161700,1069,08101002903,0.09,0.2
205,1432,21761,105400,653,08101001900,0.09,0.21
206,2337,33191,170200,914,08101003104,0.06,0.1
207,2306,13800,62900,769,08101001100,0.16,0.49
208,3265,24434,163500,564,08101003200,0.07,0.14
209,4322,25622,138100,647,08101001700,0.06,0.08
210,1919,19802,159900,630,08101000905,0.12,0.26
211,4179,33940,212200,1126,08059012047,0.08,0.06
212,3663,48233,311400,1917,08059012049,0.03,0.02
213,3807,48143,450300,1307,08059012050,0.04,0.05
214,5521,37470,228500,1592,08059012052,0.09,0.07
215,4231,39063,359400,1115,08059012054,0.05,0.03
216,5409,43014,279900,1181,08059012043,0.05,0.04
217,3865,48786,333400,1670,08059012058,0.03,0.07
218,2798,51156,364400,975,08059010504,0.06,0.0
219,5066,10596,406100,927,08059010000,0.05,0.17
220,3404,26213,260300,750,08059010211,0.09,0.12
221,4151,40599,255500,1169,08059011712,0.06,0.06
222,4758,50942,384000,1969,08059011724,0.06,0.03
223,2888,44710,362400,1106,08059012027,0.07,0.04
224,2498,41690,400500,1650,08059012032,0.08,0.06
225,2940,44833,394700,1260,08059012033,0.03,0.01
226,2629,32468,204700,1207,08059009832,0.11,0.07
227,5688,32136,225500,1048,08059009833,0.1,0.12
228,3751,36134,243200,1801,08059009840,0.07,0.05
229,2484,23720,213800,790,08059010902,0.14,0.22
230,5346,31039,257700,1086,08059010303,0.04,0.06
231,5589,35041,232000,1188,08059010308,0.05,0.07
232,4136,29809,242200,798,08059010701,0.03,0.06
233,2643,45811,324600,1040,08059011721,0.03,0.05
234,5855,45000,328100,1213,08059012022,0.07,0.03
235,3911,41316,347800,1099,08059012031,0.06,0.05
236,5590,40063,216200,1146,08059012039,0.02,0.03
237,3013,26220,138400,614,08095967600,0.05,0.22
238,1372,19719,114500,650,08095967700,0.08,0.1
239,4402,38890,487900,1284,08097000401,0.09,0.06
240,2803,33111,1000001,1111,08097000402,0.07,0.05
241,2186,41190,434500,1310,08097000500,0.04,0.09
242,2165,18878,96000,424,08099000700,0.12,0.21
243,2715,35872,201500,1304,08101002911,0.1,0.09
244,1975,22667,152500,866,08101002912,0.09,0.17
245,3638,30733,195000,1031,08101002913,0.07,0.03
246,3653,27189,142800,1086,08101002914,0.09,0.1
247,2401,26772,163900,857,08101002915,0.11,0.15
248,2922,21019,92800,1016,08101002916,0.11,0.15
249,2139,44100,270200,1208,08123001407,0.05,0.01
250,4864,23704,123100,918,08123001006,0.11,0.17
251,3968,38250,171000,1156,08123001405,0.05,0.03
252,5488,34603,213000,1088,08123001406,0.08,0.1
253,2200,29276,240800,1111,08123001408,0.08,0.1
254,3185,30938,173600,887,08123001409,0.05,0.17
255,3054,31962,217500,960,08123001410,0.11,0.06
256,2602,47636,240700,936,08123001411,0.02,0.05
257,2400,36058,252800,1138,08123001412,0.07,0.07
258,3066,28163,157000,911,08123001413,0.09,0.08
259,2365,37809,193300,1320,08123001414,0.04,0.13
260,4032,41149,194700,1466,08123001415,0.09,0.02
261,2254,46531,285800,1203,08123001416,0.05,0.03
262,1970,33750,166500,933,08123001417,0.08,0.16
263,4531,25959,134000,950,08123001905,0.07,0.16
264,1731,25161,216300,1193,08123001906,0.07,0.08
265,2776,30266,190900,1034,08123001907,0.04,0.08
266,2431,25571,129900,839,08123001908,0.08,0.16
267,4421,30746,265800,1071,08059010901,0.13,0.11
268,3011,24544,216600,813,08059011300,0.17,0.15
269,4271,25074,220300,907,08059011602,0.08,0.27
270,1228,21909,166500,1300,08101003106,0.19,0.1
271,2808,24029,202800,931,08101002917,0.12,0.1
272,6400,33890,181500,1453,08101002918,0.06,0.06
273,3139,29401,196400,1137,08101003105,0.08,0.05
274,2180,11392,125000,412,08101003500,0.21,0.33
275,4499,29389,209400,874,08123001800,0.04,0.15
