,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
1024,3685,33975,355600,1025,08,031,002403,0.09,0.31
1025,3026,26960,188100,1063,08,005,081500,0.03,0.08
1026,4969,32426,224200,1608,08,005,081600,0.06,0.07
1027,2946,52300,417600,3008,08,005,081700,0.07,0.02
1028,5629,25554,130200,1096,08,005,081800,0.09,0.2
1029,6745,25597,215600,847,08,005,081900,0.07,0.24
1030,4250,28718,106000,1143,08,005,082000,0.07,0.24
1031,7453,25337,236300,1124,08,005,082100,0.05,0.25
1032,6222,26163,184800,1088,08,005,082200,0.04,0.09
1033,3958,30842,168000,1176,08,005,082300,0.08,0.22
1034,4267,25880,215900,1141,08,005,082400,0.09,0.17
1035,2209,31954,219800,1664,08,005,082500,0.06,0.08
1036,5182,36830,140800,1141,08,005,082600,0.06,0.06
1037,3602,36559,223300,1807,08,005,082700,0.03,0.06
1038,4834,32157,186900,1267,08,005,082800,0.07,0.07
1039,4776,37135,202800,1388,08,005,082900,0.05,0.07
1040,3563,42214,349300,1628,08,005,083000,0.03,0.06
1041,6631,40587,266500,1426,08,005,083100,0.03,0.04
1042,9092,50299,289800,1467,08,005,083200,0.04,0.03
1043,4413,40533,222900,1690,08,005,083300,0.04,0.06
1044,7435,31900,235500,1705,08,005,083400,0.02,0.03
1045,6234,32288,267800,1177,08,005,083500,0.08,0.16
1046,3450,32227,200000,1183,08,005,083600,0.02,0.09
1047,4311,39977,370400,1319,08,005,083700,0.03,0.05
1048,3095,35140,189900,1233,08,005,083800,0.09,0.06
1049,2840,40146,186100,1335,08,005,083900,0.04,0.07
1050,2570,35882,237200,1663,08,005,084000,0.1,0.07
1051,4389,33895,233500,1282,08,005,084100,0.09,0.11
1052,3826,35991,202500,1559,08,005,084200,0.03,0.05
1053,3613,33364,243900,1525,08,005,084300,0.07,0.1
1054,3098,37125,230100,1602,08,005,084400,0.04,0.13
1055,3102,32461,237300,1298,08,005,084500,0.01,0.1
1056,5466,32384,210900,1245,08,005,084600,0.05,0.06
1057,4606,36261,240800,1621,08,005,084700,0.05,0.07
1058,3519,40651,266200,1286,08,005,084800,0.03,0.06
1059,3352,59655,452700,2233,08,005,084900,0.06,0.01
1060,1674,52500,674000,1555,08,005,085000,0.05,0.03
1061,6920,53705,451400,2200,08,005,085100,0.05,0.02
1062,2941,50399,443800,2338,08,005,085200,0.03,0.03
1063,2462,47052,505500,1577,08,005,085300,0.05,0.02
1064,4543,42571,323500,1649,08,005,085400,0.05,0.06
1065,5581,41026,346300,1761,08,005,085500,0.04,0.02
1066,3317,53608,383500,1813,08,005,085600,0.02,0.01
1067,4515,35469,194000,1351,08,005,085700,0.08,0.04
1068,1687,38200,277000,1691,08,005,085800,0.03,0.03
1069,4875,52716,332800,1833,08,005,085900,0.05,0.03
1070,6415,36250,255200,1129,08,031,011902,0.02,0.12
1071,5128,20980,323400,799,08,031,000702,0.05,0.45
1072,5913,41535,239900,1106,08,031,002702,0.05,0.14
1073,4275,92643,742100,1813,08,031,003901,0.01,0.04
1074,5121,34556,245700,1003,08,005,007101,0.04,0.07
1075,4260,30060,193600,1166,08,005,007702,0.03,0.17
1076,4769,23695,255900,1155,08,005,007703,0.13,0.2
1077,3828,34014,835000,1104,08,005,005612,0.04,0.04
1078,2626,31854,240400,905,08,005,006000,0.11,0.1
1079,2962,30395,246600,884,08,005,006100,0.07,0.24
1080,2468,28497,183900,1467,08,005,007500,0.08,0.19
1081,4655,40782,343500,1600,08,005,005619,0.03,0.05
1082,2905,37300,229400,1257,08,005,005620,0.07,0.06
1083,3034,49809,514000,1299,08,005,005621,0.04,0.04
1084,4686,50397,413700,1400,08,005,005627,0.04,0.05
1085,5787,41415,325800,1576,08,005,005628,0.03,0.04
1086,4303,26250,229000,832,08,005,005951,0.12,0.27
1087,3305,32396,279700,1144,08,005,006200,0.06,0.12
1088,5258,44710,322100,1635,08,005,006707,0.03,0.12
1089,2555,51786,642200,2917,08,005,005629,0.04,0.03
1090,3137,39286,277700,1415,08,005,005634,0.05,0.06
1091,4501,69808,1226900,-666666666,08,005,006704,0.02,0.02
1092,5134,58482,441400,1653,08,005,006706,0.03,0.04
1093,5062,50471,451400,1506,08,005,006708,0.03,0.03
1094,2868,43726,518300,1441,08,005,006854,0.1,0.06
1095,3138,31138,398400,803,08,015,000300,0.05,0.08
1096,4184,26835,340500,798,08,015,000200,0.02,0.07
1097,2824,24017,252100,765,08,015,000100,0.03,0.11
1098,5793,41018,301700,1044,08,047,013800,0.03,0.05
1099,3656,31552,374400,1132,08,045,951600,0.07,0.14
1100,6987,34230,188400,789,08,045,952100,0.05,0.09
1101,4249,45677,505200,-666666666,08,045,951802,0.03,0.02
1102,4040,33567,306200,835,08,051,963600,0.07,0.07
1103,869,26574,313800,1060,08,051,963900,0.03,0.17
1104,6461,16475,201400,813,08,051,963700,0.11,0.22
1105,4845,35394,459300,1192,08,051,963800,0.03,0.07
1106,1753,36613,306300,850,08,059,009807,0.04,0.07
1107,5836,40584,313000,1534,08,059,012041,0.05,0.06
1108,3480,47824,367000,1774,08,059,012037,0.05,0.03
1109,3613,48393,510500,1758,08,059,009842,0.02,0.09
1110,3604,33515,273800,1055,08,059,010603,0.04,0.08
1111,4944,30835,239000,991,08,059,010403,0.05,0.16
1112,4036,33107,316900,1213,08,059,011710,0.04,0.05
1113,4960,44156,394500,1439,08,059,011720,0.05,0.08
1114,4002,37432,186700,1403,08,059,011729,0.04,0.07
1115,8151,42945,303500,1776,08,005,086000,0.03,0.05
1116,4804,43517,277400,1702,08,005,086100,0.02,0.02
1117,6675,46372,289000,2002,08,005,086200,0.03,0.03
1118,4669,42170,325100,1472,08,005,086300,0.02,0.1
1119,2103,60050,704900,-666666666,08,005,086400,0.01,0.02
1120,5220,41975,401800,1383,08,005,086500,0.02,0.02
1121,5844,39673,431100,1490,08,005,086600,0.01,0.06
1122,4735,68750,470200,2859,08,005,086700,0.03,0.03
1123,7062,31797,195600,1041,08,005,086800,0.04,0.15
1124,3043,28257,250400,1385,08,005,086900,0.05,0.24
1125,5090,25126,220900,1227,08,005,087000,0.06,0.24
1126,2713,27175,154100,1094,08,005,087100,0.08,0.19
1127,4302,37885,452900,1222,08,005,087200,0.04,0.19
1128,8384,31177,292000,1098,08,005,087300,0.05,0.11
1129,1577,23696,71900,438,08,009,964600,0.02,0.12
1130,2004,22130,80700,567,08,009,964700,0.06,0.24
1131,5806,14358,77700,669,08,011,966700,0.09,0.16
1132,3950,48750,694200,1315,08,013,012103,0.03,0.08
1133,3915,29173,924700,1796,08,013,012201,0.11,0.3
1134,4076,16765,744000,1482,08,013,012204,0.08,0.44
1135,4072,49273,350000,1452,08,059,012044,0.02,0.05
1136,3985,39124,289500,1682,08,059,012053,0.05,0.03
1137,5672,46890,292900,1297,08,059,012057,0.02,0.03
1138,5563,40625,300700,1683,08,059,009828,0.03,0.02
1139,3850,41622,314500,1632,08,059,009835,0.07,0.04
1140,5720,43983,419000,1139,08,059,009808,0.03,0.08
1141,4918,41485,276300,1747,08,059,009824,0.07,0.08
1142,2548,28750,-666666666,1307,08,059,009831,0.01,0.09
1143,4408,36849,232600,1371,08,035,013904,0.06,0.11
1144,5115,41494,306400,1419,08,035,013907,0.01,0.09
1145,4143,49895,349000,1809,08,035,014112,0.06,0.01
1146,4381,55146,474700,1543,08,035,014115,0.03,0.07
1147,6179,50594,823500,1579,08,035,014116,0.03,0.07
1148,7698,50503,437000,1444,08,035,013901,0.02,0.02
1149,6305,44278,499400,1546,08,035,013909,0.04,0.01
1150,5598,41560,355500,1261,08,035,014503,0.02,0.06
1151,3222,38278,730900,1292,08,035,014123,0.04,0.1
1152,1844,46193,483400,1350,08,035,014202,0.02,0.07
1153,772,30000,316300,742,08,035,014300,0.04,0.03
1154,7403,51173,437600,2275,08,035,013908,0.02,0.02
1155,7211,61533,735100,1656,08,035,014122,0.04,0.01
1156,7679,45066,244900,1623,08,035,014001,0.03,0.04
1157,3795,58182,386200,1633,08,035,014107,0.03,0.03
1158,3321,45534,292100,1534,08,035,014114,0.03,0.04
1159,4723,33720,261400,1138,08,035,014504,0.05,0.16
1160,4156,41512,244700,1405,08,059,011731,0.02,0.03
1161,3526,44353,320900,1661,08,059,012023,0.04,0.05
1162,3670,36535,268100,1621,08,059,012038,0.06,0.01
1163,3963,40968,335000,1406,08,059,012042,0.06,0.02
1164,6379,24653,172200,1088,08,001,008506,0.07,0.15
1165,7978,36777,249900,1463,08,001,008533,0.03,0.06
