,population,income,house_value,rent,tract,unemployment,poverty
166,3769,49185,-666666666,1766,08005006859,0.04,0.15
167,1429,51132,383300,1661,08005006860,0.09,0.19
168,4267,58795,697700,1837,08005006861,0.03,0.02
169,1591,82963,675700,2288,08005006862,0.03,0.01
170,5783,38785,346200,1687,08005006863,0.03,0.13
171,3562,42724,670100,1818,08005006864,0.04,0.03
172,6457,42334,410500,1310,08005007101,0.09,0.09
173,1735,58281,582800,-666666666,08005007103,0.01,0.03
174,6419,56115,467700,2300,08005007106,0.06,0.03
175,3398,40556,413700,2324,08005007108,0.1,0.03
176,2991,53785,444000,2407,08005007109,0.02,0.01
177,6147,57582,440300,2313,08005007110,0.01,0.04
178,1742,27038,-666666666,1398,08005007111,0.13,0.2
179,8104,61060,549500,1948,08005007112,0.05,0.06
180,6128,77741,656900,-666666666,08005007113,0.02,0.02
181,3616,23984,322600,1123,08005007201,0.1,0.19
182,4654,28734,266200,1123,08005007202,0.11,0.07
183,2836,33592,323800,1342,08005007301,0.07,0.12
184,5289,26496,279500,1065,08005007302,0.1,0.25
185,5329,27480,293400,1580,08005007400,0.05,0.2
186,2779,28995,312900,1938,08005007500,0.07,0.25
187,3355,31103,312200,1551,08005007600,0.12,0.13
188,3912,41995,330800,1312,08005007702,0.02,0.04
189,5445,31364,366400,1432,08005007703,0.1,0.11
190,5301,30109,229100,1437,08005007704,0.1,0.14
191,2843,56302,533000,-666666666,08005015100,0.01,0.05
192,3929,37663,324800,1309,08005080000,0.06,0.1
193,4429,33040,276900,1228,08005080100,0.07,0.14
194,6417,40385,421700,1742,08005080200,0.07,0.08
195,5653,38116,399900,1589,08005080300,0.04,0.08
196,4940,44561,341400,1781,08005080400,0.09,0.05
197,3928,38735,337800,1412,08005080500,0.05,0.14
198,3489,38172,253100,1532,08005080600,0.06,0.13
199,5896,27399,331900,1611,08005080700,0.08,0.12
200,3422,27688,267100,1422,08005080800,0.06,0.09
201,4492,31285,343700,1992,08005080900,0.12,0.15
202,2054,38682,213900,1583,08005081001,0.0,0.17
203,3184,32500,312100,1358,08005081002,0.02,0.13
204,4176,33528,315000,1485,08005081101,0.03,0.19
205,2280,35348,194200,1375,08005081102,0.02,0.28
206,5404,30579,238800,1468,08005081200,0.12,0.11
207,3123,38857,306300,1513,08005081300,0.03,0.06
208,4406,37837,350600,1825,08005081400,0.02,0.09
209,2750,33262,242100,1235,08005081500,0.03,0.07
210,5174,38639,342900,2327,08005081600,0.1,0.08
211,2861,50278,503200,2917,08005081700,0.06,0.01
212,5940,25706,295200,1490,08005081800,0.02,0.2
213,6570,31493,321200,1038,08005081900,0.02,0.16
214,4997,35417,164800,1519,08005082000,0.08,0.11
215,6957,37375,361800,1397,08005082100,0.05,0.17
216,6841,35764,302100,1359,08005082200,0.05,0.11
217,4517,35731,312800,1578,08005082300,0.07,0.08
218,4731,30179,337000,1489,08005082400,0.03,0.17
219,2413,37804,347600,1929,08005082500,0.07,0.03
220,5949,39063,246700,1391,08005082600,0.03,0.1
221,4155,41784,327200,2086,08005082700,0.06,0.11
222,5177,35862,309300,1728,08005082800,0.05,0.08
223,4975,41534,315100,1747,08005082900,0.03,0.04
224,3785,52688,444400,2269,08005083000,0.07,0.03
225,7125,49204,347200,1978,08005083100,0.04,0.04
226,6121,52345,437100,2402,08005083201,0.01,0.03
227,3214,48795,417700,2179,08005083202,0.01,0.03
228,4786,41470,342500,1941,08005083300,0.02,0.08
229,7152,40710,365000,2159,08005083400,0.02,0.05
230,6414,36195,375800,1396,08005083500,0.06,0.14
231,3895,37051,304100,1659,08005083600,0.06,0.12
232,4177,50000,452200,2322,08005083700,0.06,0.03
233,3015,38431,323600,1671,08005083800,0.09,0.03
234,3039,47601,290400,1698,08005083900,0.12,0.06
235,2779,41199,329200,2083,08005084000,0.1,0.07
236,4329,41437,336600,1572,08005084100,0.06,0.12
237,4203,46134,322100,1772,08005084200,0.03,0.11
238,3808,41726,354100,2059,08005084300,0.04,0.03
239,3448,45317,323900,1930,08005084400,0.08,0.1
240,2838,40472,388600,1625,08005084500,0.02,0.04
241,5355,40801,342000,1548,08005084600,0.03,0.04
242,4793,39560,336300,2005,08005084700,0.03,0.06
243,3631,54338,385300,2243,08005084800,0.04,0.04
244,3339,64882,583600,2278,08005084900,0.01,0.02
245,2595,62792,741700,1463,08005085000,0.05,0.1
246,6580,79289,608100,2489,08005085100,0.02,0.02
247,3319,55139,595400,1688,08005085200,0.02,0.0
248,2487,62989,583000,1821,08005085300,0.03,0.02
249,4836,51817,442500,2517,08005085400,0.02,0.01
250,5548,50500,455400,2571,08005085500,0.04,0.0
251,3576,62264,501500,2833,08005085600,0.02,0.01
252,4842,37248,276000,1693,08005085700,0.11,0.08
253,1670,50948,380800,2317,08005085800,0.04,0.03
254,7938,54838,467400,2658,08005085900,0.04,0.04
255,4599,55098,447500,-666666666,08005086001,0.0,0.05
256,4078,43032,363300,2082,08005086002,0.01,0.08
257,4940,50875,417400,1991,08005086100,0.02,0.02
258,6501,53420,422500,2232,08005086200,0.02,0.02
259,4950,41062,439900,1769,08005086300,0.03,0.08
260,1967,65521,997300,3281,08005086400,0.03,0.02
261,5051,40293,486900,1659,08005086500,0.05,0.04
262,6415,47218,555200,1817,08005086600,0.01,0.02
263,6595,75391,656900,-666666666,08005086700,0.03,0.02
264,3274,42592,270400,1415,08005086801,0.07,0.1
265,3359,40221,360800,1598,08005086802,0.05,0.07
266,3163,40913,259800,1570,08005086900,0.02,0.15
267,4701,38167,326100,1608,08005087000,0.04,0.11
268,2404,34131,233200,1439,08005087100,0.07,0.08
269,3988,43958,696300,1686,08005087200,0.04,0.09
270,5546,37852,278600,1536,08005087301,0.02,0.05
271,2393,34763,-666666666,1760,08005087302,0.01,0.11
272,26,-666666666,-666666666,-666666666,08005980000,0.0,0.0
273,1450,31372,283300,1075,08007940400,0.1,0.12
274,1696,41228,295800,-666666666,08007974201,0.02,0.03
275,4165,26446,325600,1224,08007974202,0.04,0.05
276,3492,24206,436200,1019,08007974300,0.04,0.09
277,2464,26279,480200,915,08007974400,0.06,0.21
278,1629,23333,106500,288,08009964600,0.02,0.2
279,1890,26860,121300,428,08009964700,0.03,0.2
280,2140,22005,46300,957,08011966701,0.03,0.09
281,3721,23438,93400,677,08011966702,0.06,0.23
282,4726,70608,1636400,2161,08013012101,0.06,0.04
283,3505,56324,906300,1882,08013012103,0.03,0.05
284,2302,71625,1112800,-666666666,08013012104,0.03,0.08
285,6109,48614,676800,1918,08013012105,0.05,0.07
286,2573,53938,949200,1335,08013012106,0.02,0.12
287,4340,39545,700500,1583,08013012107,0.02,0.13
288,3678,27133,1736400,1692,08013012201,0.05,0.26
289,4167,25940,1116100,1848,08013012204,0.05,0.35
290,3724,25379,655800,1586,08013012205,0.02,0.28
291,3305,16502,577900,1451,08013012206,0.06,0.42
292,4778,38768,259500,1465,08013012207,0.02,0.24
293,1998,65147,593500,2150,08013012208,0.02,0.13
294,6744,4670,360000,1380,08013012300,0.14,0.06
295,6528,8125,1213700,1950,08013012401,0.06,0.52
296,2495,43938,641100,1661,08013012501,0.08,0.06
297,3996,83926,1170000,2360,08013012505,0.03,0.05
298,3879,27841,666100,1758,08013012507,0.07,0.25
299,2496,45169,620000,1874,08013012508,0.06,0.16
300,3378,68521,864400,2402,08013012509,0.05,0.06
301,3729,74638,748300,2264,08013012510,0.03,0.05
302,6261,12411,604900,1774,08013012511,0.07,0.09
303,3350,57161,830100,2166,08013012603,0.03,0.07
304,1864,10911,417400,1704,08013012605,0.06,0.48
305,2267,32813,602100,1683,08013012608,0.03,0.12
306,1553,17320,331300,1584,08013012609,0.05,0.4
307,4228,10366,601400,1455,08013012610,0.08,0.58
308,5900,55037,861000,2210,08013012701,0.05,0.03
309,5525,49405,469900,1744,08013012705,0.08,0.12
310,2399,26315,593800,-666666666,08013012707,0.04,0.14
311,4500,54729,723600,1793,08013012708,0.04,0.05
312,2097,37292,614100,2596,08013012709,0.13,0.17
313,3580,67021,1034200,1822,08013012710,0.02,0.04
314,8148,71602,611900,3501,08013012801,0.03,0.06
315,6842,61103,563400,2778,08013012802,0.08,0.03
316,2681,62216,778100,2667,08013012903,0.04,0.03
317,6086,53999,545000,2154,08013012904,0.03,0.03
318,2851,41740,493100,1679,08013012905,0.07,0.05
319,3573,56568,461600,2067,08013012907,0.01,0.03
320,7603,56031,733400,1720,08013013003,0.05,0.05
321,3339,71458,705500,2259,08013013004,0.03,0.02
322,2984,54519,639900,1642,08013013005,0.02,0.05
323,6141,55204,638800,1832,08013013006,0.02,0.06
324,2118,43092,673600,1490,08013013201,0.04,0.12
325,1541,46985,1099800,99,08013013202,0.01,0.01
326,5124,58899,674600,1171,08013013205,0.06,0.05
327,4169,37434,473100,1554,08013013207,0.04,0.07
328,6451,42470,457400,1654,08013013208,0.05,0.03
329,6006,35662,359500,1409,08013013210,0.08,0.09
330,6288,46019,585200,1180,08013013211,0.05,0.08
331,5249,48919,490200,1798,08013013212,0.04,0.05
332,5574,64226,613700,1874,08013013214,0.04,0.02
333,5541,45987,513800,1612,08013013215,0.05,0.15
334,4736,42976,472300,1438,08013013302,0.03,0.15
335,5765,38389,366400,1696,08013013305,0.03,0.11
336,4792,36854,340700,1422,08013013306,0.02,0.11
337,3926,41701,368500,1354,08013013307,0.06,0.07
338,3556,33061,327600,1484,08013013308,0.04,0.13
339,3458,32012,353000,1260,08013013401,0.09,0.12
340,8126,44649,386200,1620,08013013402,0.04,0.07
341,5031,32561,325600,1199,08013013503,0.04,0.11
342,4916,36968,357400,1236,08013013505,0.03,0.06
343,4674,56071,448500,1593,08013013506,0.04,0.03
344,3768,38915,358700,1726,08013013507,0.06,0.05
345,7800,40153,461900,1848,08013013508,0.03,0.06
346,4031,54149,700300,1545,08013013601,0.03,0.05
347,1250,46473,396600,1625,08013013602,0.05,0.04
348,1328,55000,438000,1335,08013013703,0.02,0.11
349,4772,51234,798900,1547,08013013704,0.1,0.12
350,1976,39598,473000,1229,08013013705,0.02,0.17
351,3834,54783,610300,2781,08013013706,0.07,0.05
352,4881,50906,578200,2010,08013060601,0.04,0.05
353,1292,32228,672300,2467,08013060602,0.01,0.14
354,3109,57921,756800,1797,08013060700,0.05,0.04
