,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
951600,0.0,12.0,24.0,36.0,39.0,,,,0.0,12.0,28.0,52.0,75.0,99.0,127.0,143.0,182.0
966501,0.0,12.0,24.0,36.0,48.0,60.0,72.0,79.0,,,,,,,,,
4901,0.0,4.0,,,16.0,28.0,45.0,64.0,,,,,,,,,
12707,0.0,12.0,24.0,36.0,48.0,60.0,,71.0,0.0,12.0,27.0,42.0,54.0,66.0,,77.0,148.0
11401,0.0,26.0,50.0,74.0,98.0,122.0,146.0,168.0,0.0,26.0,50.0,74.0,98.0,122.0,146.0,168.0,336.0
3701,0.0,12.0,24.0,36.0,42.0,,,,0.0,12.0,24.0,36.0,42.0,,46.0,58.0,100.0
13705,0.0,0.0,1.0,4.0,16.0,28.0,40.0,52.0,0.0,0.0,16.0,32.0,64.0,100.0,148.0,192.0,244.0
2914,9.0,13.0,,,,,,,9.0,13.0,16.0,28.0,40.0,52.0,53.0,63.0,76.0
14900,9.0,61.0,117.0,170.0,220.0,266.0,314.0,361.0,9.0,71.0,139.0,207.0,281.0,351.0,423.0,495.0,856.0
12201,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,,,,3.0,19.0,43.0,67.0,91.0,175.0
13210,0.0,12.0,24.0,29.0,37.0,49.0,61.0,73.0,0.0,12.0,24.0,29.0,37.0,49.0,61.0,73.0,146.0
1708,0.0,24.0,48.0,72.0,91.0,94.0,102.0,113.0,0.0,12.0,24.0,36.0,48.0,51.0,59.0,70.0,183.0
11726,0.0,22.0,34.0,35.0,43.0,55.0,67.0,74.0,,,,,,,,8.0,82.0
4800,0.0,16.0,28.0,33.0,37.0,61.0,85.0,111.0,,,,,,,,,
13302,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,64.0,76.0,88.0,100.0,184.0
978300,0.0,24.0,46.0,79.0,103.0,117.0,129.0,141.0,,,,,,,,,
