,population,income,house_value,rent,tract,unemployment,poverty,tract_str,tract_str_last6,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
388,1894,29947,452000,-666666666,403,0.15,0.09,8015000403,000403,4.0,12.0,15.0,27.0,39.0,51.0,63.0,75.0,0.0,4.0,7.0,19.0,31.0,43.0,55.0,67.0,142.0
389,2333,30595,330000,1130,404,0.15,0.09,8015000404,000404,0.0,24.0,75.0,136.0,209.0,265.0,327.0,390.0,0.0,24.0,75.0,130.0,202.0,263.0,339.0,419.0,809.0
390,1691,41115,157500,719,960600,0.03,0.11,8017960600,960600,,,,,8.0,14.0,26.0,38.0,,0.0,12.0,24.0,48.0,91.0,141.0,196.0,234.0
391,2902,64955,663600,-666666666,14701,0.0,0.03,8019014701,014701,,,,,,,,,,,,,,,,,0.0
392,2124,45475,512100,1090,14702,0.07,0.02,8019014702,014702,,,,,,3.0,15.0,27.0,,,,,,3.0,15.0,27.0,54.0
393,1839,27813,383500,1141,14800,0.04,0.09,8019014800,014800,0.0,16.0,25.0,,,,,,0.0,28.0,52.0,68.0,100.0,127.0,159.0,195.0,220.0
394,2562,37679,307200,1124,14900,0.04,0.09,8019014900,014900,9.0,61.0,117.0,170.0,220.0,266.0,314.0,361.0,9.0,71.0,139.0,207.0,281.0,351.0,423.0,495.0,856.0
395,3243,25715,101100,761,974800,0.07,0.22,8021974800,974800,,,,,,,,,,0.0,27.0,66.0,114.0,152.0,179.0,201.0,0.0
396,4336,26761,156800,618,974900,0.08,0.12,8021974900,974900,,,,,,,,,,,,,,,,,0.0
397,1892,20250,155500,715,972600,0.09,0.25,8023972600,972600,0.0,0.0,12.0,24.0,36.0,48.0,60.0,71.0,0.0,24.0,72.0,120.0,161.0,215.0,275.0,327.0,398.0
398,1625,19613,110600,601,972700,0.06,0.19,8023972700,972700,10.0,14.0,17.0,29.0,41.0,53.0,65.0,76.0,10.0,14.0,29.0,53.0,77.0,101.0,125.0,147.0,223.0
399,2217,18096,69300,992,969601,0.04,0.19,8025969601,969601,,,,,,,,,,,,,,,,6.0,0.0
400,3801,15904,73500,958,969602,0.06,0.21,8025969602,969602,,,,,,,,,,,,,0.0,17.0,35.0,55.0,0.0
401,2289,31658,294500,790,970101,0.04,0.06,8027970101,970101,,,,,,,,,,,,,,,,,0.0
402,2431,37213,248000,728,970102,0.07,0.08,8027970102,970102,,,,,,,,,,,,,,,,,0.0
403,3713,39527,296300,889,964600,0.04,0.09,8029964600,964600,,,,,,,,2.0,,,,,,,,8.0,10.0
404,4062,29966,294700,1055,964700,0.04,0.14,8029964700,964700,,,,,,,,,,,,,,,,,0.0
405,4180,25370,210800,763,964800,0.06,0.14,8029964800,964800,,,,,,,,,,,,,,,,,0.0
406,5857,29933,297500,962,964900,0.03,0.17,8029964900,964900,,,,,,4.0,16.0,23.0,,,,,,,,,0.0
407,2359,26464,225000,955,965001,0.02,0.24,8029965001,965001,,,,,,,,,,,,,,,,,0.0
408,2056,28523,266300,1027,965002,0.01,0.17,8029965002,965002,,,,,,,,,,,,,,,,,0.0
409,3892,25784,236800,669,965100,0.07,0.13,8029965100,965100,,,,,,,,,,,,,,,,,0.0
410,2573,21292,190900,826,965201,0.11,0.22,8029965201,965201,,,,,,,,,,,,,,,,4.0,0.0
411,2441,27175,295400,954,965202,0.11,0.22,8029965202,965202,,,,,,,,,,,,,,,,,0.0
412,3747,64509,585500,2100,102,0.08,0.08,8031000102,000102,0.0,36.0,72.0,108.0,139.0,163.0,179.0,191.0,0.0,16.0,34.0,47.0,71.0,95.0,119.0,139.0,330.0
413,3504,34760,367700,1138,201,0.04,0.08,8031000201,000201,0.0,,,,,,,,,,,,,,,3.0,3.0
414,4327,39491,523300,1180,202,0.05,0.21,8031000202,000202,0.0,2.0,32.0,77.0,113.0,149.0,193.0,229.0,,0.0,27.0,63.0,99.0,135.0,179.0,215.0,444.0
415,5383,77671,672600,1580,301,0.02,0.09,8031000301,000301,0.0,52.0,122.0,220.0,334.0,419.0,506.0,582.0,0.0,16.0,24.0,51.0,87.0,123.0,159.0,190.0,772.0
416,4709,63279,603100,1427,302,0.03,0.06,8031000302,000302,8.0,80.0,180.0,303.0,416.0,522.0,633.0,739.0,0.0,,,,,11.0,23.0,34.0,773.0
417,4998,61660,638700,1522,303,0.03,0.07,8031000303,000303,0.0,12.0,24.0,36.0,48.0,60.0,72.0,81.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,81.0,162.0
418,3473,50825,492400,1421,401,0.03,0.08,8031000401,000401,0.0,36.0,80.0,131.0,179.0,227.0,275.0,312.0,0.0,36.0,77.0,128.0,176.0,224.0,272.0,309.0,621.0
419,3680,56333,630700,2004,403,0.01,0.04,8031000403,000403,4.0,12.0,15.0,27.0,39.0,51.0,63.0,75.0,0.0,4.0,7.0,19.0,31.0,43.0,55.0,67.0,142.0
420,2423,64375,527000,1824,404,0.09,0.12,8031000404,000404,0.0,24.0,75.0,136.0,209.0,265.0,327.0,390.0,0.0,24.0,75.0,130.0,202.0,263.0,339.0,419.0,809.0
421,2087,70455,671700,1964,501,0.04,0.09,8031000501,000501,,,,,,,,,,,,,,,,,0.0
422,2573,50454,633000,516,503,0.04,0.3,8031000503,000503,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
423,3354,54477,590400,1518,504,0.03,0.05,8031000504,000504,0.0,12.0,24.0,36.0,48.0,60.0,72.0,73.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,73.0,146.0
424,3795,70045,617500,1508,600,0.04,0.13,8031000600,000600,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,27.0,40.0,72.0,120.0,162.0,193.0,277.0
425,2119,39606,543400,1335,703,0.07,0.09,8031000703,000703,0.0,0.0,13.0,37.0,61.0,85.0,109.0,130.0,0.0,1.0,13.0,25.0,37.0,49.0,61.0,73.0,203.0
426,3273,50351,598300,1331,704,0.04,0.1,8031000704,000704,,,,,,,,,,,,,,,,,0.0
427,2597,47734,595200,1239,705,0.03,0.15,8031000705,000705,0.0,12.0,24.0,36.0,56.0,74.0,86.0,98.0,0.0,12.0,24.0,36.0,56.0,74.0,86.0,98.0,196.0
428,2397,59798,607300,1544,706,0.02,0.03,8031000706,000706,,,,,,,,,,,,,,,,,0.0
429,1133,12604,535700,239,800,0.31,0.78,8031000800,000800,0.0,91.0,185.0,270.0,350.0,424.0,500.0,585.0,0.0,91.0,188.0,285.0,377.0,466.0,566.0,663.0,1248.0
430,5282,31828,333200,1443,902,0.04,0.04,8031000902,000902,,,,,,,7.0,9.0,,,,,,,7.0,9.0,18.0
431,5906,25394,323200,1445,903,0.06,0.22,8031000903,000903,13.0,61.0,109.0,150.0,186.0,222.0,252.0,,5.0,53.0,101.0,142.0,178.0,214.0,244.0,249.0,501.0
432,5143,22037,351800,1118,904,0.12,0.29,8031000904,000904,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
433,3716,30698,347400,1772,905,0.05,0.25,8031000905,000905,,,,,,,,,,,,,,,,,0.0
434,4293,24398,324000,618,1000,0.03,0.2,8031001000,001000,5.0,85.0,173.0,251.0,321.0,402.0,504.0,598.0,5.0,69.0,152.0,231.0,313.0,415.0,537.0,655.0,1253.0
435,2641,40047,491300,1530,1101,0.05,0.21,8031001101,001101,0.0,12.0,38.0,74.0,110.0,134.0,157.0,186.0,,,,,,,,,0.0
436,5145,61951,632900,1872,1102,0.03,0.07,8031001102,001102,0.0,12.0,24.0,36.0,48.0,60.0,72.0,78.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,88.0,166.0
437,5082,36936,382200,1309,1301,0.08,0.14,8031001301,001301,0.0,38.0,89.0,161.0,237.0,296.0,357.0,418.0,0.0,2.0,3.0,15.0,27.0,29.0,32.0,44.0,462.0
438,3770,36394,340200,1379,1302,0.07,0.19,8031001302,001302,0.0,12.0,42.0,78.0,114.0,162.0,188.0,207.0,0.0,12.0,42.0,78.0,114.0,162.0,188.0,207.0,414.0
439,5362,25987,343800,852,1401,0.04,0.18,8031001401,001401,0.0,24.0,72.0,120.0,159.0,200.0,240.0,274.0,0.0,24.0,60.0,96.0,132.0,173.0,213.0,247.0,521.0
440,4584,27178,337800,1537,1402,0.04,0.2,8031001402,001402,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0
441,3339,48645,434000,1697,1403,0.04,0.09,8031001403,001403,25.0,157.0,332.0,516.0,683.0,814.0,968.0,1117.0,8.0,82.0,197.0,320.0,443.0,569.0,708.0,837.0,1954.0
442,4005,29523,357600,1341,1500,0.07,0.21,8031001500,001500,0.0,52.0,127.0,224.0,320.0,436.0,559.0,659.0,0.0,28.0,49.0,86.0,134.0,202.0,272.0,326.0,985.0
443,2633,70860,595100,1911,1601,0.06,0.1,8031001601,001601,0.0,28.0,52.0,76.0,98.0,115.0,151.0,184.0,0.0,24.0,51.0,87.0,121.0,150.0,190.0,234.0,418.0
444,4570,64263,410800,1863,1602,0.03,0.05,8031001602,001602,,,,,,,,,,,,,,,,,0.0
