,tract,year,rec,med,dispensary_status,match_id
210,8001009553,2016,0.0,0.0,0.0,24.0
211,8001009553,2017,0.0,0.0,0.0,24.0
212,8001009553,2018,0.0,0.0,0.0,24.0
213,8001009553,2019,0.0,0.0,0.0,24.0
214,8001009553,2020,0.0,0.0,0.0,24.0
215,8001009553,2021,0.0,0.0,0.0,24.0
216,8001009603,2014,0.0,0.0,0.0,202.0
217,8001009603,2015,0.0,0.0,0.0,202.0
218,8001009603,2016,0.0,0.0,0.0,202.0
219,8001009603,2017,0.0,0.0,0.0,202.0
220,8001009603,2018,0.0,0.0,0.0,202.0
221,8001009603,2019,0.0,0.0,0.0,202.0
222,8001009603,2020,0.0,0.0,0.0,202.0
223,8001009603,2021,0.0,0.0,0.0,202.0
224,8001009606,2014,0.0,0.0,0.0,56.0
225,8001009606,2015,0.0,0.0,0.0,56.0
226,8001009606,2016,12.0,0.0,0.0,56.0
227,8001009606,2017,24.0,0.0,0.0,56.0
228,8001009606,2018,36.0,0.0,0.0,56.0
229,8001009606,2019,48.0,0.0,0.0,56.0
230,8001009606,2020,60.0,0.0,0.0,56.0
231,8001009606,2021,71.0,0.0,0.0,56.0
232,8001009751,2014,0.0,0.0,1.0,8.0
233,8001009751,2015,0.0,0.0,1.0,8.0
234,8001009751,2016,0.0,0.0,1.0,8.0
235,8001009751,2017,0.0,0.0,1.0,8.0
236,8001009751,2018,0.0,0.0,1.0,8.0
237,8001009751,2019,8.0,0.0,1.0,8.0
238,8001009751,2020,20.0,0.0,1.0,8.0
239,8001009751,2021,32.0,0.0,1.0,8.0
240,8001015000,2014,0.0,0.0,1.0,9.0
241,8001015000,2015,0.0,0.0,1.0,9.0
242,8001015000,2016,15.0,3.0,1.0,9.0
243,8001015000,2017,27.0,0.0,1.0,9.0
244,8001015000,2018,39.0,0.0,1.0,9.0
245,8001015000,2019,51.0,0.0,1.0,9.0
246,8001015000,2020,63.0,0.0,1.0,9.0
247,8001015000,2021,70.0,0.0,1.0,9.0
248,8001060001,2014,0.0,0.0,0.0,160.0
249,8001060001,2015,0.0,0.0,0.0,160.0
250,8001060001,2016,0.0,0.0,0.0,160.0
251,8001060001,2017,0.0,0.0,0.0,160.0
252,8001060001,2018,0.0,0.0,0.0,160.0
253,8001060001,2019,0.0,0.0,0.0,160.0
254,8001060001,2020,0.0,0.0,0.0,160.0
255,8001060001,2021,0.0,0.0,0.0,160.0
256,8003960100,2014,0.0,0.0,0.0,30.0
257,8003960100,2015,0.0,24.0,0.0,30.0
258,8003960100,2016,0.0,48.0,0.0,30.0
259,8003960100,2017,0.0,72.0,0.0,30.0
260,8003960100,2018,0.0,96.0,0.0,30.0
261,8003960100,2019,0.0,120.0,0.0,30.0
262,8003960100,2020,0.0,144.0,0.0,30.0
263,8003960100,2021,0.0,165.0,0.0,30.0
264,8003960300,2014,0.0,0.0,0.0,260.0
265,8003960300,2015,0.0,0.0,0.0,260.0
266,8003960300,2016,0.0,0.0,0.0,260.0
267,8003960300,2017,0.0,0.0,0.0,260.0
268,8003960300,2018,0.0,0.0,0.0,260.0
269,8003960300,2019,0.0,0.0,0.0,260.0
270,8003960300,2020,0.0,0.0,0.0,260.0
271,8003960300,2021,0.0,0.0,0.0,260.0
