,tract,year,rec,med,dispensary_status,match_id,population,income,house_value,rent,unemployment,poverty
130,8001009202,2016,0.0,0.0,0.0,75.0,4708.0,26570.0,167600.0,1263.0,0.1,0.12
131,8001009202,2017,0.0,0.0,0.0,75.0,4555.0,29056.0,190700.0,1368.0,0.08,0.13
132,8001009202,2018,0.0,0.0,0.0,75.0,4244.0,30279.0,226600.0,1400.0,0.08,0.11
133,8001009202,2019,0.0,0.0,0.0,75.0,4554.0,30665.0,255300.0,1463.0,0.06,0.15
134,8001009202,2020,0.0,0.0,0.0,75.0,4648.0,33850.0,281200.0,1451.0,0.04,0.1
135,8001009202,2021,0.0,0.0,0.0,75.0,4557.0,35344.0,292400.0,1508.0,0.05,0.13
136,8001009204,2014,0.0,0.0,0.0,58.0,7172.0,33550.0,215800.0,1123.0,0.03,0.05
137,8001009204,2015,0.0,0.0,0.0,58.0,7168.0,33550.0,225700.0,1150.0,0.03,0.04
138,8001009204,2016,0.0,0.0,0.0,58.0,7000.0,32178.0,244700.0,1181.0,0.02,0.05
139,8001009204,2017,0.0,0.0,0.0,58.0,7486.0,32415.0,261700.0,1270.0,0.02,0.06
140,8001009204,2018,0.0,0.0,0.0,58.0,7518.0,32406.0,270700.0,1528.0,0.03,0.06
141,8001009204,2019,0.0,0.0,0.0,58.0,6836.0,40704.0,308400.0,1575.0,0.02,0.05
142,8001009204,2020,0.0,0.0,0.0,58.0,6929.0,35557.0,339900.0,1567.0,0.02,0.06
143,8001009204,2021,0.0,0.0,0.0,58.0,6928.0,35662.0,377000.0,1689.0,0.03,0.12
144,8001009306,2014,0.0,0.0,0.0,66.0,3829.0,24894.0,171000.0,1308.0,0.15,0.2
145,8001009306,2015,0.0,0.0,0.0,66.0,3807.0,23263.0,180600.0,1331.0,0.09,0.15
146,8001009306,2016,0.0,0.0,0.0,66.0,3694.0,24926.0,195000.0,1588.0,0.08,0.14
147,8001009306,2017,0.0,0.0,0.0,66.0,3469.0,25877.0,217500.0,2025.0,0.05,0.06
148,8001009306,2018,0.0,0.0,0.0,66.0,3561.0,28063.0,249200.0,1763.0,0.03,0.03
149,8001009306,2019,0.0,0.0,0.0,66.0,3588.0,27627.0,285200.0,1851.0,0.02,0.03
150,8001009306,2020,0.0,0.0,0.0,66.0,3120.0,31500.0,318100.0,1771.0,0.03,0.06
151,8001009306,2021,0.0,0.0,0.0,66.0,3620.0,34806.0,331400.0,2022.0,0.0,0.12
152,8001009306,2014,0.0,0.0,0.0,159.0,3829.0,24894.0,171000.0,1308.0,0.15,0.2
153,8001009306,2015,0.0,0.0,0.0,159.0,3807.0,23263.0,180600.0,1331.0,0.09,0.15
154,8001009306,2016,0.0,0.0,0.0,159.0,3694.0,24926.0,195000.0,1588.0,0.08,0.14
155,8001009306,2017,0.0,0.0,0.0,159.0,3469.0,25877.0,217500.0,2025.0,0.05,0.06
156,8001009306,2018,0.0,0.0,0.0,159.0,3561.0,28063.0,249200.0,1763.0,0.03,0.03
157,8001009306,2019,0.0,0.0,0.0,159.0,3588.0,27627.0,285200.0,1851.0,0.02,0.03
158,8001009306,2020,0.0,0.0,0.0,159.0,3120.0,31500.0,318100.0,1771.0,0.03,0.06
159,8001009306,2021,0.0,0.0,0.0,159.0,3620.0,34806.0,331400.0,2022.0,0.0,0.12
160,8001009316,2014,0.0,0.0,1.0,5.0,6638.0,18942.0,28500.0,1140.0,0.13,0.12
161,8001009316,2015,0.0,0.0,1.0,5.0,6901.0,19844.0,31300.0,1130.0,0.11,0.11
162,8001009316,2016,3.0,6.0,1.0,5.0,6916.0,18470.0,33900.0,1128.0,0.05,0.14
163,8001009316,2017,18.0,33.0,1.0,5.0,7337.0,21935.0,44800.0,1128.0,0.04,0.11
164,8001009316,2018,23.0,50.0,1.0,5.0,7291.0,22491.0,60800.0,1165.0,0.03,0.13
165,8001009316,2019,41.0,63.0,1.0,5.0,7372.0,23487.0,61200.0,1161.0,0.02,0.12
166,8001009316,2020,65.0,75.0,1.0,5.0,7689.0,22732.0,65700.0,1236.0,0.01,0.2
167,8001009316,2021,80.0,83.0,1.0,5.0,7147.0,26409.0,66000.0,1459.0,0.05,0.15
168,8001009319,2014,0.0,0.0,0.0,222.0,2444.0,21869.0,52600.0,729.0,0.07,0.24
169,8001009319,2015,0.0,0.0,0.0,222.0,2669.0,21869.0,45000.0,730.0,0.07,0.26
170,8001009319,2016,0.0,0.0,0.0,222.0,2613.0,24182.0,71300.0,759.0,0.06,0.29
171,8001009319,2017,1.0,0.0,0.0,222.0,2550.0,23989.0,74600.0,790.0,0.05,0.34
172,8001009319,2018,13.0,0.0,0.0,222.0,2723.0,23488.0,85000.0,822.0,0.07,0.32
173,8001009319,2019,25.0,0.0,0.0,222.0,2595.0,24217.0,126600.0,887.0,0.04,0.29
174,8001009319,2020,33.0,0.0,0.0,222.0,2771.0,24038.0,199200.0,986.0,0.1,0.37
175,8001009319,2021,36.0,0.0,0.0,222.0,2814.0,26836.0,218300.0,1173.0,0.13,0.36
176,8001009320,2014,0.0,0.0,1.0,6.0,2914.0,23036.0,46400.0,857.0,0.13,0.34
177,8001009320,2015,0.0,0.0,1.0,6.0,2819.0,22803.0,51600.0,905.0,0.13,0.24
178,8001009320,2016,3.0,6.0,1.0,6.0,2800.0,24984.0,43700.0,949.0,0.1,0.22
179,8001009320,2017,15.0,18.0,1.0,6.0,2760.0,24278.0,-666666666.0,1028.0,0.07,0.26
180,8001009320,2018,27.0,30.0,1.0,6.0,2834.0,25781.0,-666666666.0,1105.0,0.06,0.15
