,tract,dispensary_status,matched_tract
337,8041002000,1,8005006815
338,8041002101,1,8041004405
339,8041002102,1,8059011101
340,8041002200,0,8031003102
341,8041002200,0,8101002920
342,8041002300,1,8041002902
343,8041002700,1,8089968600
344,8041002801,1,8007940400
345,8041002802,1,8105977002
346,8041002901,1,8005081002
347,8041002902,0,8023972600
348,8041002902,0,8031000503
349,8041002902,0,8041000301
350,8041002902,0,8041002300
351,8041002902,0,8101000200
352,8041002902,0,8101000600
353,8041003001,0,8009964600
354,8041003001,0,8013012201
355,8041003002,1,8001007802
356,8041003303,0,8031004201
357,8041003402,1,8005082000
358,8041003706,0,8113968101
359,8041003708,0,8013012705
360,8041003708,0,8037000401
361,8041003711,0,8099000300
362,8041003801,1,8001007801
363,8041003906,0,8001008508
364,8041004100,0,8031004102
365,8041004403,1,8013013703
366,8041004404,0,8005005702
367,8041004404,0,8031002101
368,8041004405,0,8041002101
369,8041004501,0,8031001401
370,8041004506,1,8005081600
371,8041004507,0,8101001000
372,8041004513,0,8077001706
373,8041004601,1,8123002004
374,8041004602,0,8001008709
375,8041004702,0,8059010403
376,8041004901,0,8013012603
377,8041005112,0,8045951600
378,8041005114,0,8059010402
379,8041005114,0,8087000700
380,8041005202,0,8071000200
381,8041005300,1,8014031401
382,8041005400,0,8031000703
383,8041005501,0,8097000101
384,8041005601,0,8015000200
385,8041006000,0,8031000903
386,8041006100,0,8001015000
387,8041006100,0,8031001901
388,8041006100,0,8123000502
389,8041006501,1,8043979400
390,8041006702,1,8029964800
391,8041006802,0,8067970900
392,8041007402,0,8031003402
393,8043978200,0,8031001601
394,8043978300,0,8007974202
395,8043978400,0,8087000300
396,8043978600,0,8005006501
397,8043979001,0,8041001500
398,8043979001,0,8069000700
399,8043979001,0,8101000903
400,8043979400,0,8041006501
401,8045951600,1,8041005112
402,8045951702,1,8119010104
403,8045951803,1,8059011709
404,8045951804,0,8093000101
405,8045952001,0,8031002300
406,8045952001,0,8117000406
407,8045952003,1,8005006709
408,8047013802,1,8059012030
409,8049000100,1,8014031104
410,8049000203,1,8123001906
411,8049000204,0,8015000100
412,8049000204,0,8031005003
413,8049000204,0,8031015800
414,8049000205,1,8069001606
415,8051963800,1,8013012708
416,8051963900,0,8031000705
417,8051963900,0,8123000402
418,8053973100,0,8031001706
419,8055960600,1,8085966401
420,8059009827,0,8069002602
421,8059009831,0,8031002405
422,8059009832,0,8001009316
423,8059009835,0,8031001102
424,8059009838,0,8069001009
425,8059009839,0,8117000404
426,8059009845,0,8031000902
427,8059009851,0,8093000500
428,8059009855,0,8097000500
429,8059009855,0,8117000302
430,8059009901,0,8031003204
431,8059009901,0,8101003004
432,8059010211,0,8041000102
433,8059010212,0,8037000302
434,8059010212,0,8101002300
435,8059010305,0,8107000300
436,8059010307,0,8069000600
437,8059010402,1,8041005114
438,8059010403,1,8041004702
439,8059010406,1,8101002922
440,8059010503,0,8087000200
441,8059010504,1,8123002209
442,8059010603,1,8069001003
443,8059010702,0,8117000301
444,8059010801,1,8001009603
445,8059010902,1,8085966100
446,8059011101,0,8041002102
447,8059011102,0,8101001500
448,8059011202,1,8067940400
449,8059011300,1,8005006400
450,8059011401,1,8101003001
451,8059011551,1,8005081600
452,8059011552,0,8013012206
453,8059011602,0,8107000800
454,8059011602,0,8123000300
455,8059011708,1,8123002207
456,8059011709,0,8045951803
457,8059011710,0,8031000403
458,8059011726,1,8013061400
459,8059011729,0,8031002706
460,8059011806,1,8063962400
461,8059011808,0,8097000402
462,8059011904,1,8029964800
463,8059012030,0,8031000302
464,8059012030,0,8047013802
465,8059012036,0,8015000402
466,8059012037,0,8037000301
467,8059012050,0,8069002300
468,8059012057,0,8031003004
469,8059012059,0,8093000200
470,8059012060,0,8077001102
471,8059015800,1,8085966602
472,8059015900,0,8031002804
473,8063962400,0,8059011806
474,8065961702,1,8007974300
475,8067940400,0,8059011202
476,8067970900,1,8041006802
477,8067971100,1,8091967601
478,8069000100,1,8013012709
479,8069000201,1,8101001400
480,8069000202,1,8013012608
481,8069000300,1,8031006701
482,8069000401,1,8005081102
483,8069000402,1,8031004505
484,8069000503,1,8001009319
485,8069000504,1,8013012609
486,8069000505,0,8101002000
487,8069000506,0,8101002901
488,8069000600,1,8059010307
489,8069000700,1,8043979001
490,8069000901,0,8031004101
491,8069000902,1,8069001007
492,8069001003,0,8059010603
493,8069001007,0,8069000902
494,8069001009,1,8059009838
495,8069001104,0,8101002804
496,8069001301,1,8031007088
497,8069001305,1,8101002400
498,8069001306,1,8089968600
499,8069001601,1,8031004310
500,8069001603,1,8001009502
501,8069001606,0,8049000205
502,8069001607,0,8031003902
503,8069001706,1,8005007702
504,8069001707,0,8001008901
505,8069001708,1,8035014207
506,8069001712,0,8031015600
507,8069001715,0,8031005503
508,8069001813,1,8035014126
509,8069001901,1,8031007088
510,8069001905,0,8077001403
511,8069002300,1,8059012050
512,8069002404,1,8014030400
513,8069002508,0,8013012701
514,8069002601,0,8087000400
515,8069002602,1,8059009827
516,8069002700,1,8005085900
517,8069002801,1,8123001416
518,8069002804,1,8031002402
519,8071000100,1,8113968102
520,8071000200,1,8041005202
521,8071000300,1,8089968000
522,8071000400,1,8123001003
523,8071000500,1,8009964700
524,8071000800,1,8013013703
525,8075966101,0,8101002923
526,8075966200,0,8101002806
527,8077000200,1,8101000905
528,8077000300,1,8031004404
529,8077000400,1,8031002705
530,8077000500,1,8013012608
531,8077000601,0,8001009751
532,8077000601,0,8041000302
533,8077000700,1,8035014206
534,8077000900,0,8099000100
535,8077000900,0,8123000705
536,8077001102,1,8059012060
537,8077001104,0,8087000800
538,8077001200,0,8031001603
539,8077001302,1,8035014139
540,8077001304,0,8013013302
541,8077001403,1,8069001905
542,8077001702,1,8005080100
543,8077001705,1,8013013308
544,8077001706,1,8041004513
545,8077001800,1,8003960300
546,8081000300,1,8001008548
547,8081000400,1,8101003001
548,8081000500,1,8039961100
549,8081000600,1,8113968102
550,8083969100,1,8035014126
551,8083969301,1,8001007900
552,8083969400,1,8005006859
553,8083969600,0,8015000403
554,8083969600,0,8029964600
555,8083969600,0,8031003701
556,8085966100,0,8017960600
557,8085966100,0,8059010902
558,8085966301,0,8117000202
559,8085966302,0,8099000200
560,8085966401,0,8055960600
561,8085966501,0,8015000300
562,8085966602,0,8031002801
563,8085966602,0,8041000202
564,8085966602,0,8059015800
565,8085966602,0,8107000400
566,8087000100,1,8101001600
567,8087000200,1,8059010503
568,8087000300,1,8043978400
569,8087000400,1,8069002601
570,8087000500,1,8123002501
571,8087000600,1,8005082100
572,8087000700,1,8041005114
573,8087000800,1,8077001104
574,8089968000,0,8071000300
575,8089968100,1,8101001400
576,8089968300,1,8005006502
577,8089968600,0,8041002700
578,8089968600,0,8069001306
579,8091967601,0,8031001403
580,8091967601,0,8037000402
581,8091967601,0,8041001000
582,8091967601,0,8067971100
583,8091967601,0,8101002914
584,8091967602,1,8014031402
585,8093000101,1,8045951804
586,8093000102,1,8031003203
587,8093000200,1,8059012059
588,8093000300,1,8027970101
589,8093000400,1,8123001408
590,8093000500,1,8059009851
591,8097000101,1,8041005501
592,8097000102,1,8121924100
593,8097000402,1,8059011808
594,8097000403,1,8031007088
595,8097000404,1,8101002906
596,8097000500,1,8059009855
597,8099000100,1,8077000900
598,8099000200,1,8085966302
599,8099000300,1,8041003711
600,8099000600,1,8113968102
601,8099000700,1,8031007090
602,8101000100,1,8013012508
603,8101000200,1,8041002902
604,8101000400,1,8113968102
605,8101000500,1,8001008603
606,8101000600,1,8041002902
607,8101000800,1,8013012605
608,8101000902,1,8031007013
609,8101000903,1,8043979001
610,8101000904,1,8005005701
611,8101000905,0,8031001800
612,8101000905,0,8077000200
613,8101000905,0,8111972600
614,8101001000,1,8041004507
615,8101001400,0,8069000201
616,8101001400,0,8089968100
617,8101001400,0,8101003500
618,8101001400,0,8123000100
619,8101001500,1,8059011102
620,8101001600,0,8031000404
621,8101001600,0,8087000100
622,8101001600,0,8109977600
623,8101001800,1,8041000104
624,8101002000,1,8069000505
625,8101002300,1,8059010212
626,8101002400,0,8069001305
627,8101002500,0,8031002704
628,8101002500,0,8107000703
629,8101002700,1,8005087000
630,8101002801,1,8119010104
631,8101002802,1,8031002402
632,8101002804,1,8069001104
633,8101002806,1,8075966200
634,8101002807,0,8031004601
635,8101002901,1,8069000506
