,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
116,2617,69167,803700,3501,0.03,0.06,0,0.46794766576897856,61,116
1141,3473,50825,492400,1421,0.03,0.08,1,0.4679541099313533,61,1141
1142,3680,56333,630700,2004,0.01,0.04,1,0.3822374558495524,62,1142
767,3965,40663,391100,1448,0.06,0.03,0,0.3822786914128388,62,767
1143,2423,64375,527000,1824,0.09,0.12,1,0.6019032541580254,63,1143
963,1683,37234,217200,1080,0.07,0.09,0,0.6021769246776928,63,963
1144,2573,50454,633000,516,0.04,0.3,1,0.8169298631414967,64,1144
544,1677,22344,186700,1044,0.11,0.24,0,0.8164143646563603,64,544
1145,3354,54477,590400,1518,0.03,0.05,1,0.4234379734606059,65,1145
147,2232,76544,1017500,1583,0.08,0.01,0,0.4233682310245407,65,147
63,3620,34806,331400,2022,0.0,0.12,0,0.523716466585281,66,63
1146,3795,70045,617500,1508,0.04,0.13,1,0.5236119782639619,66,1146
620,6024,25417,184100,1016,0.07,0.21,0,0.5787043395883841,67,620
1147,2119,39606,543400,1335,0.07,0.09,1,0.5785394847911636,67,1147
1148,2597,47734,595200,1239,0.03,0.15,1,0.6269446965876624,68,1148
694,1036,41447,441100,1659,0.02,0.1,0,0.627365994884385,68,694
1149,1133,12604,535700,239,0.31,0.78,1,0.9947135085613185,69,1149
275,4228,10366,601400,1455,0.08,0.58,0,0.9556733765026021,69,275
1150,5282,31828,333200,1443,0.04,0.04,1,0.33190655613024006,70,1150
720,4546,77953,811300,2429,0.06,0.03,0,0.33190444619678383,70,720
1151,5906,25394,323200,1445,0.06,0.22,1,0.5963771904013688,71,1151
628,7258,22492,254000,1036,0.07,0.26,0,0.596382942501249,71,628
1152,5143,22037,351800,1118,0.12,0.29,1,0.7515414920077207,72,1152
149,1429,51132,383300,1661,0.09,0.19,0,0.7521214360042952,72,149
1039,1992,22475,260900,1240,0.05,0.12,0,0.6344489609127136,73,1039
1153,4293,24398,324000,618,0.03,0.2,1,0.6344312243161478,73,1153
1154,5145,61951,632900,1872,0.03,0.07,1,0.36039888337041653,74,1154
712,3678,54646,470100,2170,0.03,0.02,0,0.3607514846404677,74,712
1155,5082,36936,382200,1309,0.08,0.14,1,0.5113249763284866,75,1155
57,4557,35344,292400,1508,0.05,0.13,0,0.5112475038524467,75,57
